,"
TRAFFIC LOG",,,,,,,,
,6:00 PM ,PSA Texans Care for Children F23,PSA Austin Bulldog,PSA Girls Rock Austin 23,,PSA WG Morning Glories 25,PSA Settlement Home 24,,
,,UA Logical Things 25,TRD STAPLE EXPO 25,PRM Drinks Lounge Res. 24,PSA CSA IWD 2025,UA Eldorado Cafe 25,PSA CSA TDV 25,PSA We Are Blood F23,
,6:30 PM ,,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,PSA CSA TDV 25,
,,EOB FM WEEKDAY,,,,,,,
,7:00 PM ,PSA AARP Found. Tax Prep 25,,PRM Car Donation - Paul,,,PRM KOOP CC 2025 (Keepers #3),,
,,PRM Community Garden Res. 24,PSA CSA IWD 2025,UA Waterloo Greenway Tix Giveaway 25,,PSA CSA TDV 25,PRM Drinks Lounge Res. 24,SHWPRM,
,7:30 PM ,,,,,,,PRM Car Donation - Paul,
,,SHWPRM,SHWPRM,SHWPRM,,SHWPRM,SHWPRM,PRM Community Garden Res. 24 (SPA),
,8:00 PM,PSA ATX Yellow Bike 24-II,PSA Co-Lab,PRM KOOP CC 2025 (Keepers #6),,,,,
,,PRM Drinks Lounge Res. 24,UA Logical Things 25,PSA Math Happens 24,,PRM Drinks Lounge Res. 24 (SPA),UA Waterloo Greenway Tix Giveaway 25,SHWPRM,
,8:30 PM,,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,,SHWPRM,UA Eldorado Cafe 25,PRM Carpenter Vinyl Night 25 (generic),
,9:00 PM,,PRM KOOP CC 2025 (15s Save the Sound),PRM KOOP Underwriting 1 2024,,,,,
,,,PRM Drinks Lounge Res. 24,PRM Community Garden Res. 24 (SPA),,PSA CSA IWD 2025,TRD STAPLE EXPO 25,PSA CSA IWD 2025,
,9:30 PM,,,,,,,,
,,,SHWPRM,SHWPRM,,SHWPRM,SHWPRM,SHWPRM,
,,,,,,,EOB FM WEEKEND,,
,10:00 PM,,,,,,PSA AARP Found. Tax Prep 25,,
,,,,,,,TRD Motorblade 25,,
,10:30 PM,,,,,,PSA CSA TDV 25,,
,,,,,,,SHWPRM,,
